title,company,location,url,description,source,apply_email,posted_at
CREDIT MARKETING OFFICER (ADIRA) SLIK BERSIH,PT Swakarya Insan Mandiri,Jawa Barat,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-adira-slik-bersih-txms,"- Melakukan proses penjualan berjalan sesuai dengan ketentuan & target yang ditetapkan, sesuai dengan arahan Relationship Head - Menjelaskan, menawarkan dan merekomendasikan Produk Pembiayaan Adira secara jelas dan sesuai dengan profil produk Adira sesuai kebutuhan pelanggan (existing), untuk mengarahkan konsumen membeli produk Adira (Repeat Order) - Memproses aplikasi kredit konsumen dengan melengkapi dan memverifikasi kelengkapan dan keabsahan dokumen nasabah serta input Initial Data - Memonitor dan Menginformasikan Progress Aplikasi Kredit, Hasil Keputusan Kredit, serta informasi penting mengenai perjanjian Kredit kepada dealer dan konsumen - Menjaga hubungan baik, menindak lanjuti data good customer dan melakukan pembaharuan data yang tepat mengenai pelanggan pada sistem Adira""",Kitalulus,,
Team Leader Sales Haji dan Motor (Tangerang Selatan),PT Padma Raharja Sentosa,Banten,https://www.kitalulus.com/lowongan/detail/team-leader-sales-haji-dan-motor-jawa-barat-eqvz,"Tanggung Jawab Utama Team Leader Memimpin dan mengelola tim penjualan untuk mencapai target yang ditetapkan. Mengarahkan, membina, dan memotivasi anggota tim. Menyusun dan menerapkan strategi penjualan yang efektif. Menganalisis data penjualan, tren pasar, dan performa tim. Membangun dan menjaga hubungan dengan klien serta mitra bisnis. Memberikan pelatihan dan pengembangan kepada tim sales. Memastikan tim bekerja sesuai dengan kebijakan dan prosedur perusahaan. Kualifikasi yang Dibutuhkan Minimal pendidikan SMA/SMK (lebih disukai D3/S1). Memiliki pengalaman minimal 1 tahun di bidang penjualan dan kepemimpinan tim (multifinance diutamakan). Memiliki kemampuan leadership, manajemen tim, dan komunikasi yang kuat. Memahami pasar dan tren industri multifinance. Memiliki kemampuan analisis data untuk pengambilan keputusan strategis. Berorientasi pada target dan mampu bekerja di bawah tekanan. Benefit Kompensasi yang kompetitif dan bonus kinerja Kesempatan untuk pengembangan karier dan pelatihan berkelanjutan Lingkungan kerja yang dinamis dan mendukung",Kitalulus,,
Credit Marketing Officer - Area Jawa Barat,PT INFOMEDIA SOLUSI HUMANIKA (ISH),Jawa Barat,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-area-jawa-barat-tsze,Mau punya penghasilan tambahan dengan penghasilan lebih dari 5jt? CMO Kreditplus jawabannya! Deskripsi Pekerjaan : Memasarkan produk pembiayaan Kreditplus secara langsung di lapangan Melakukan survei dan analisis kelayakan kredit calon konsumen Membangun serta menjaga relasi dengan dealer dan nasabah Memenuhi target aplikasi pinjaman yang telah ditetapkan perusahaan Kualifikasi : Pendidikan minimal SMA/SMK sederajat Berjiwa komunikatif dan menyukai aktivitas lapangan Pengalaman di bidang leasing atau marketing menjadi nilai tambah Memiliki kendaraan pribadi dan SIM C aktif Benefit : BPJS Kesehatan & Ketenagakerjaan Tunjangan menarik Area kerja sesuai domisili,Kitalulus,,
Sales Executive B2B Horeca - Titipku,Titipku,Banten,https://www.kitalulus.com/lowongan/detail/sales-executive-b2b-horeca-titipku-blmp,"Tugas & Tanggung Jawab • Mengakuisisi pelanggan baru di segmen Horeca (hotel, restoran, kafe, katering, dan foodservice). • Melakukan prospecting, cold calling, canvassing, dan kunjungan pelanggan. • Mempresentasikan produk serta melakukan negosiasi hingga closing. • Mengelola dan mengembangkan hubungan dengan pelanggan eksisting. • Mencapai target penjualan, volume, dan pelanggan aktif. • Menyusun laporan penjualan, aktivitas kunjungan, dan pipeline. • Memantau tren pasar, aktivitas kompetitor, serta menjalankan program promosi. • Memantau piutang pelanggan dan berkoordinasi untuk proses penagihan. Kualifikasi • Pendidikan minimal D3/S1 semua jurusan. • Pengalaman 1–3 tahun di sales B2B Horeca, FMCG, distribusi makanan, atau industri terkait. • Memiliki pengalaman mencapai target penjualan. • Memiliki jaringan Horeca menjadi nilai tambah. • Memiliki kendaraan pribadi dan SIM A/C aktif. • Bersedia melakukan kunjungan lapangan di wilayah Jabodetabek. Kualifikasi Utama • Memiliki kemampuan negosiasi, komunikasi, dan closing yang baik. • Berorientasi pada target dan mampu bekerja secara mandiri. • Memahami dasar pricing dan margin. • Menguasai Microsoft Office serta terbiasa menggunakan CRM/sales reporting. • Memiliki kemampuan analitis dan problem solving yang baik.",Kitalulus,,
Account Manager,PT Duyuen Group Indonesia,Banten,https://www.kitalulus.com/lowongan/detail/account-manager-m6oh,"DE LI YUAN Tea and Matcha Raw Material Supplier yang berfokus menghadirkan High Quality Matcha, Teh dan Bahan Baku Minuman Premium untuk Industri F&B. Produk DE LI YUAN mencakup matcha, teh pilihan, bubuk minuman, buah, sirup, hingga pelengkap lainnya dengan kualitas terjamin dan sudah bersertifikat HALAL dan BPOM. DE LI YUAN Tea and Matcha Raw Material Supplier sedang membuka lowongan untuk posisi Account Manager - Sales Food & Beverage di Daerah Gading Serpong Tangerang. Lamar sekarang untuk menjadi bagian dari tim kami. Deskripsi Pekerjaan: Memasarkan produk teh pilihan, bubuk minuman, buah & sirup. Melakukan penjualan produk perusahaan ke segmen Hotel, Restoran, dan Café/Catering (HoReCa). Mengidentifikasi peluang bisnis baru dan melakukan canvassing/presentasi produk kepada calon pelanggan. Menjaga hubungan baik dengan pelanggan existing melalui kunjungan rutin, komunikasi, dan layanan purna jual. Berkolaborasi dengan tim marketing untuk mengembangkan kampanye dan strategi penjualan yang efektif. Mengumpulkan umpan balik dari pelanggan dan mengidentifikasi peluang penjualan baru. Memastikan ketersediaan stok dan pengiriman produk yang tepat waktu. Kualifikasi: Maksimal 35 tahun. Pendidikan minimal D3/S1 semua jurusan, lebih diutamakan dari jurusan Manajemen/Marketing/Perhotelan/Food & Beverage. Pengalaman minimal 1–2 tahun di bidang sales, khususnya di segmen HoReCa / Food Service / Hospitality. Memiliki kemampuan komunikasi, negosiasi, dan presentasi yang baik. Berorientasi pada target, proaktif, dan mampu bekerja secara mandiri maupun dalam tim. Pemahaman yang baik tentang tren dan dinamika industri ritel makanan & minuman. Penempatan Gading Serpong Tangerang. Hari & Jam Kerja: Senin - Jumat 08:00 WIB - 17:00 WIB Sabtu 08:00 WIB - 12:00 WIB",Kitalulus,,
Account Officer - Tangsel 2 (New Branch),PT Modal Ventura YCAB,Banten,https://www.kitalulus.com/lowongan/detail/account-officer-tangsel-2-new-branch-t1us,"Kualifikasi Pendidikan minimal SMA/SMK sederajat. Usia 18–33 tahun. Memiliki pengalaman minimal 1 tahun di bidang kredit pembiayaan (khususnya UMKM) dan/atau collection pada perusahaan microfinance sejenis. Memiliki kendaraan bermotor pribadi untuk operasional kerja; diutamakan memiliki SIM C aktif. Terbiasa bekerja dengan target dan deadline. Memiliki integritas tinggi, jujur, disiplin, komunikatif, teliti, tangguh, dan berorientasi pada hasil. Memiliki rekam jejak kerja yang baik. Tanggung Jawab Melakukan akuisisi dan pembinaan nasabah sesuai prosedur dan ketentuan perusahaan. Menjelaskan produk pembiayaan, membentuk kelompok, serta melakukan survei kelayakan calon nasabah. Mengelola proses pengajuan, pencairan, dan pengajuan pembiayaan ulang (reloan). Melakukan monitoring pembayaran angsuran serta penagihan (collection) atas keterlambatan/tunggakan. Menyusun dan menyampaikan laporan aktivitas secara akurat dan tepat waktu. Bersedia ditempatkan sesuai kebutuhan di cabang Kedoya, Tambora, Tanah Abang, Pademangan, Tangerang, dan Tangerang Selatan Benefit: Gaji Setara UMK Penempatan BPJS Kesehatan dan Ketenagakerjaan Asuransi Kecelakaan Kerja THR Insentif Pencapaian Target Cuti Tahunan Hari Kerja Senin-Jumat (Sabtu/Minggu & Tanggal Merah Libur) Uang Pengganti/Kompensasi PKWT Peluang Jenjang Karir",Kitalulus,,
Credit Marketing Officer,PT Valdo Sumber Daya Mandiri,Banten,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-uxdt,Job Decription : 1. mencari konsumen yang mau menggadaikan bpkb motor/mobil 2. mencapai target sales yang telah diberikan perusahaan dengan tetap menjaga kualitas portofolio sales 3. melakukan promosi dan direct selling ke wilayah - wilayah sesuai arahan Marketing Head untuk mendapatkan calon debitur yang layak sesuai persyaratan perusahaan 4. melakukan survey kelayakan konsumen yang di assign oleh Marketing Head 5. melakukan pendekatan kepada debitur untuk dapat menjaga kualitas pembayaran 6. membuat logbook aktifitas harian dan memberikan laporan terkait aktifitas kerja dan pencapaian target kepada Marketing Head Kualifikasi : 1. Memiliki pengalaman kerja di multifinance selama 1 tahun 2. Memiliki relasi luas di bidang marketing / sales pembiayaan 3. Lulusan baru dipersilahkan melamar 4. Siap Kerja Lapangan penuh waktu 5. Berperilaku jujur dan bertanggung jawab 6. Memiliki kendaraan pribadi (Motor) dan SIM C Aktif 7. Mengetahui wilayah Kota Serang dan sekitarnya,Kitalulus,,
Relationship Manager Funding Bandung,PT Cicil Solusi Mitra Teknologi,Jawa Barat,https://www.kitalulus.com/lowongan/detail/relationship-manager-funding-bandung-2nu9,"CICIL (cicil.co.id) adalah sebuah Perusahaan Teknologi Finansial Produktif yang memberikan solusi pembiayaan untuk kegiatan rantai pasok bisnis Anda dari hulu ke hilir yang mudah dan cepat. Kami mencari individu yang memiliki antusiasme tinggi dalam dunia pendanaan, serta mampu membangun dan menjaga hubungan strategis dengan investor ritel maupun institusi. Sebagai Relationship Manager Funding, Anda akan menjadi ujung tombak dalam menjembatani kebutuhan pembiayaan bisnis dengan mitra pendanaan yang tepat. Jika Anda memiliki pengalaman di sektor keuangan, percaya diri dalam komunikasi, serta bersemangat membangun jaringan yang berdampak—kami ingin bertemu dengan Anda! Responsibility: Mendapatkan Pendana Potensial Baru (Lender / Nasabah Funding) Membantu pertanyaan dan kebutuhan yang terkait dengan Lender (membuat, mengelola, dan mengoptimalkan nasabah funding). Mempertahankan Lender (nasabah funding) yang sudah ada dengan memberikan layanan terbaik. Bekerja untuk mencapai target pendapatan yang telah ditetapkan dan berkontribusi pada pertumbuhan perusahaan secara keseluruhan. Bernegosiasi dan memimpin kemitraan strategis/peningkatan yang berdampak besar. Bertanggung jawab untuk menjaga portofolio saat ini, menjalin hubungan baik, memberikan layanan berkualitas terbaik, dan menyediakan informasi produk yang memadai kepada Lender (nasabah funding). Requirements: Minimal pendidikan Sarjana (S1) dari jurusan apa pun di Universitas ternama. Memiliki pengalaman minimal 2 tahun di industri Peer-to-peer atau Perbankan. Memiliki keterampilan komunikasi, penjualan, dan presentasi yang baik. Memiliki teknik negosiasi dan strategi pemasaran untuk meningkatkan penjualan. Memiliki jaringan atau relasi yang luas. Memiliki portofolio yang baik dari pekerjaan sebelumnya merupakan poin plus! Dapat bergabung ASAP di utamakan. Hanya kandidat terpilih yang akan dihubungi lebih lanjut !",Kitalulus,,
Team Leader,PT Nusapala Group,Jawa Timur,https://www.kitalulus.com/lowongan/detail/team-leader-ovby,"KUALIFIKASI: Pendidikan minimal SMA/SMK sederajat (lebih disukai D3/S1 semua jurusan). Memiliki pengalaman minimal 1–2 tahun sebagai Team Leader Parking, Supervisor Parking, atau posisi sejenis. Memahami sistem operasional parkir, baik manual maupun menggunakan sistem otomatis (parking management system). Memiliki kemampuan memimpin, mengarahkan, dan mengawasi tim operasional. Mampu menyusun jadwal kerja (shift), pembagian tugas, serta memastikan kedisiplinan anggota tim. Memahami prosedur keselamatan kerja (K3), pelayanan pelanggan (customer service), dan penanganan keadaan darurat. Mampu menangani keluhan pelanggan dengan cepat, tepat, dan profesional. Memiliki kemampuan komunikasi, koordinasi, dan problem solving yang baik. Mampu membuat laporan operasional harian, mingguan, dan bulanan. Terbiasa menggunakan Microsoft Office (Word dan Excel) untuk administrasi dan pelaporan. Memiliki integritas tinggi, jujur, disiplin, dan bertanggung jawab. BENEFIT: UMK Penempatan BPJS TK & Kesehatan",Kitalulus,,
Credit Marketing Officer (CMO) - Jember,PT. Maybank Indonesia Finance,Jawa Timur,https://www.kitalulus.com/lowongan/detail/credit-marketing-officer-cmo-jember-e6ts,"Deskripsi Pekerjaan : Membina hubungan atau relasi yang baik dengan dealer Melakukan analisa dan survey kelayakan kredit debitur Mencapai target penjualan Penempatan Cabang SPU Jember Kualifikasi : Pria, usia maksimal 28 tahun Pendidikan minimal D3 semua jurusan, minimal IPK 2.75 Terbuka untuk fresh graduate maupun yang memiliki pengalaman Dapat bekerja dibawah tekanan Memiliki pengetahuan mengenai dunia pembiayaan Memiliki kendaraan bermotor serta SIM C aktif Mampu berkomunikasi dan membina hubungan baik Mempunyai kemampuan analisa yang baik, teliti, kritis, tekun, ulet, loyal dan disiplin",Kitalulus,,
